Time,main.nodeA,main.led_anode,main.light_out
5.000000e-06,1.851973e+00,1.837664e+00,7.154606e-01
1.100000e-05,1.851973e+00,1.837664e+00,7.154606e-01
1.820000e-05,1.851973e+00,1.837664e+00,7.154606e-01
2.684000e-05,1.851973e+00,1.837664e+00,7.154606e-01
3.720800e-05,1.851973e+00,1.837664e+00,7.154606e-01
4.964960e-05,1.851973e+00,1.837664e+00,7.154606e-01
6.457952e-05,1.851973e+00,1.837664e+00,7.154606e-01
8.249542e-05,1.851973e+00,1.837664e+00,7.154606e-01
1.039945e-04,1.851973e+00,1.837664e+00,7.154606e-01
1.297934e-04,1.851973e+00,1.837664e+00,7.154606e-01
1.607521e-04,1.851973e+00,1.837664e+00,7.154606e-01
1.979025e-04,1.851973e+00,1.837664e+00,7.154606e-01
2.424830e-04,1.851973e+00,1.837664e+00,7.154606e-01
2.924830e-04,1.851973e+00,1.837664e+00,7.154606e-01
3.424830e-04,1.851973e+00,1.837664e+00,7.154606e-01
3.924830e-04,1.851973e+00,1.837664e+00,7.154606e-01
4.424830e-04,1.851973e+00,1.837664e+00,7.154606e-01
4.924830e-04,1.851973e+00,1.837664e+00,7.154606e-01
5.424830e-04,1.851973e+00,1.837664e+00,7.154606e-01
5.924830e-04,1.851973e+00,1.837664e+00,7.154606e-01
6.424830e-04,1.851973e+00,1.837664e+00,7.154606e-01
6.924830e-04,1.851973e+00,1.837664e+00,7.154606e-01
7.424830e-04,1.851973e+00,1.837664e+00,7.154606e-01
7.924830e-04,1.851973e+00,1.837664e+00,7.154606e-01
8.424830e-04,1.851973e+00,1.837664e+00,7.154606e-01
8.924830e-04,1.851973e+00,1.837664e+00,7.154606e-01
9.424830e-04,1.851973e+00,1.837664e+00,7.154606e-01
9.924830e-04,1.851973e+00,1.837664e+00,7.154606e-01
1.042483e-03,1.851973e+00,1.837664e+00,7.154606e-01
1.092483e-03,1.851973e+00,1.837664e+00,7.154606e-01
1.142483e-03,1.851973e+00,1.837664e+00,7.154606e-01
1.192483e-03,1.851973e+00,1.837664e+00,7.154606e-01
1.242483e-03,1.851973e+00,1.837664e+00,7.154606e-01
1.292483e-03,1.851973e+00,1.837664e+00,7.154606e-01
1.342483e-03,1.851973e+00,1.837664e+00,7.154606e-01
1.392483e-03,1.851973e+00,1.837664e+00,7.154606e-01
1.442483e-03,1.851973e+00,1.837664e+00,7.154606e-01
1.492483e-03,1.851973e+00,1.837664e+00,7.154606e-01
1.542483e-03,1.851973e+00,1.837664e+00,7.154606e-01
1.592483e-03,1.851973e+00,1.837664e+00,7.154606e-01
1.642483e-03,1.851973e+00,1.837664e+00,7.154606e-01
1.692483e-03,1.851973e+00,1.837664e+00,7.154606e-01
1.742483e-03,1.851973e+00,1.837664e+00,7.154606e-01
1.792483e-03,1.851973e+00,1.837664e+00,7.154606e-01
1.842483e-03,1.851973e+00,1.837664e+00,7.154606e-01
1.892483e-03,1.851973e+00,1.837664e+00,7.154606e-01
1.942483e-03,1.851973e+00,1.837664e+00,7.154606e-01
1.992483e-03,1.851973e+00,1.837664e+00,7.154606e-01
2.042483e-03,1.851973e+00,1.837664e+00,7.154606e-01
2.092483e-03,1.851973e+00,1.837664e+00,7.154606e-01
2.142483e-03,1.851973e+00,1.837664e+00,7.154606e-01
2.192483e-03,1.851973e+00,1.837664e+00,7.154606e-01
2.242483e-03,1.851973e+00,1.837664e+00,7.154606e-01
2.292483e-03,1.851973e+00,1.837664e+00,7.154606e-01
2.342483e-03,1.851973e+00,1.837664e+00,7.154606e-01
2.392483e-03,1.851973e+00,1.837664e+00,7.154606e-01
2.442483e-03,1.851973e+00,1.837664e+00,7.154606e-01
2.492483e-03,1.851973e+00,1.837664e+00,7.154606e-01
2.542483e-03,1.851973e+00,1.837664e+00,7.154606e-01
2.592483e-03,1.851973e+00,1.837664e+00,7.154606e-01
2.642483e-03,1.851973e+00,1.837664e+00,7.154606e-01
2.692483e-03,1.851973e+00,1.837664e+00,7.154606e-01
2.742483e-03,1.851973e+00,1.837664e+00,7.154606e-01
2.792483e-03,1.851973e+00,1.837664e+00,7.154606e-01
2.842483e-03,1.851973e+00,1.837664e+00,7.154606e-01
2.892483e-03,1.851973e+00,1.837664e+00,7.154606e-01
2.942483e-03,1.851973e+00,1.837664e+00,7.154606e-01
2.992483e-03,1.851973e+00,1.837664e+00,7.154606e-01
3.042483e-03,1.851973e+00,1.837664e+00,7.154606e-01
3.092483e-03,1.851973e+00,1.837664e+00,7.154606e-01
3.142483e-03,1.851973e+00,1.837664e+00,7.154606e-01
3.192483e-03,1.851973e+00,1.837664e+00,7.154606e-01
3.242483e-03,1.851973e+00,1.837664e+00,7.154606e-01
3.292483e-03,1.851973e+00,1.837664e+00,7.154606e-01
3.342483e-03,1.851973e+00,1.837664e+00,7.154606e-01
3.392483e-03,1.851973e+00,1.837664e+00,7.154606e-01
3.442483e-03,1.851973e+00,1.837664e+00,7.154606e-01
3.492483e-03,1.851973e+00,1.837664e+00,7.154606e-01
3.542483e-03,1.851973e+00,1.837664e+00,7.154606e-01
3.592483e-03,1.851973e+00,1.837664e+00,7.154606e-01
3.642483e-03,1.851973e+00,1.837664e+00,7.154606e-01
3.692483e-03,1.851973e+00,1.837664e+00,7.154606e-01
3.742483e-03,1.851973e+00,1.837664e+00,7.154606e-01
3.792483e-03,1.851973e+00,1.837664e+00,7.154606e-01
3.842483e-03,1.851973e+00,1.837664e+00,7.154606e-01
3.892483e-03,1.851973e+00,1.837664e+00,7.154606e-01
3.942483e-03,1.851973e+00,1.837664e+00,7.154606e-01
3.992483e-03,1.851973e+00,1.837664e+00,7.154606e-01
4.042483e-03,1.851973e+00,1.837664e+00,7.154606e-01
4.092483e-03,1.851973e+00,1.837664e+00,7.154606e-01
4.142483e-03,1.851973e+00,1.837664e+00,7.154606e-01
4.192483e-03,1.851973e+00,1.837664e+00,7.154606e-01
4.242483e-03,1.851973e+00,1.837664e+00,7.154606e-01
4.292483e-03,1.851973e+00,1.837664e+00,7.154606e-01
4.342483e-03,1.851973e+00,1.837664e+00,7.154606e-01
4.392483e-03,1.851973e+00,1.837664e+00,7.154606e-01
4.442483e-03,1.851973e+00,1.837664e+00,7.154606e-01
4.492483e-03,1.851973e+00,1.837664e+00,7.154606e-01
4.542483e-03,1.851973e+00,1.837664e+00,7.154606e-01
4.592483e-03,1.851973e+00,1.837664e+00,7.154606e-01
4.642483e-03,1.851973e+00,1.837664e+00,7.154606e-01
4.692483e-03,1.851973e+00,1.837664e+00,7.154606e-01
4.742483e-03,1.851973e+00,1.837664e+00,7.154606e-01
4.792483e-03,1.851973e+00,1.837664e+00,7.154606e-01
4.842483e-03,1.851973e+00,1.837664e+00,7.154606e-01
4.892483e-03,1.851973e+00,1.837664e+00,7.154606e-01
4.942483e-03,1.851973e+00,1.837664e+00,7.154606e-01
4.992483e-03,1.851973e+00,1.837664e+00,7.154606e-01
5.042483e-03,1.851973e+00,1.837664e+00,7.154606e-01
