Time,main.plant_node,main.setpoint,main.out
0.000000e+00,5.271564e-03,3.300000e+00,-6.589448e+00
1.000000e-05,6.589459e+00,3.300000e+00,6.590777e+00
2.000000e-05,1.053470e-02,3.300000e+00,-6.578914e+00
3.000000e-05,6.584201e+00,3.300000e+00,6.580251e+00
4.000000e-05,1.578944e-02,3.300000e+00,-6.568396e+00
5.000000e-05,6.578952e+00,3.300000e+00,6.569741e+00
6.000000e-05,2.103577e-02,3.300000e+00,-6.557895e+00
7.000000e-05,6.573711e+00,3.300000e+00,6.559248e+00
8.000000e-05,2.627372e-02,3.300000e+00,-6.547411e+00
9.000000e-05,6.568478e+00,3.300000e+00,6.548773e+00
1.000000e-04,3.150331e-02,3.300000e+00,-6.536943e+00
1.100000e-04,6.563253e+00,3.300000e+00,6.538313e+00
1.200000e-04,3.672453e-02,3.300000e+00,-6.526492e+00
1.300000e-04,6.558037e+00,3.300000e+00,6.527871e+00
1.400000e-04,4.193742e-02,3.300000e+00,-6.516058e+00
1.500000e-04,6.552830e+00,3.300000e+00,6.517445e+00
1.600000e-04,4.714198e-02,3.300000e+00,-6.505641e+00
1.700000e-04,6.547630e+00,3.300000e+00,6.507036e+00
1.800000e-04,5.233822e-02,3.300000e+00,-6.495240e+00
1.900000e-04,6.542439e+00,3.300000e+00,6.496644e+00
2.000000e-04,5.752615e-02,3.300000e+00,-6.484856e+00
2.100000e-04,6.537257e+00,3.300000e+00,6.486268e+00
2.200000e-04,6.270580e-02,3.300000e+00,-6.474488e+00
2.300000e-04,6.532082e+00,3.300000e+00,6.475908e+00
2.400000e-04,6.787717e-02,3.300000e+00,-6.464137e+00
2.500000e-04,6.526916e+00,3.300000e+00,6.465566e+00
2.600000e-04,7.304028e-02,3.300000e+00,-6.453803e+00
2.700000e-04,6.521758e+00,3.300000e+00,6.455240e+00
2.800000e-04,7.819514e-02,3.300000e+00,-6.443485e+00
2.900000e-04,6.516608e+00,3.300000e+00,6.444930e+00
3.000000e-04,8.334177e-02,3.300000e+00,-6.433183e+00
3.100000e-04,6.511467e+00,3.300000e+00,6.434637e+00
3.200000e-04,8.848017e-02,3.300000e+00,-6.422898e+00
3.300000e-04,6.506334e+00,3.300000e+00,6.424360e+00
3.400000e-04,9.361036e-02,3.300000e+00,-6.412630e+00
3.500000e-04,6.501209e+00,3.300000e+00,6.414100e+00
3.600000e-04,9.873235e-02,3.300000e+00,-6.402378e+00
3.700000e-04,6.496092e+00,3.300000e+00,6.403856e+00
3.800000e-04,1.038462e-01,3.300000e+00,-6.392142e+00
3.900000e-04,6.490983e+00,3.300000e+00,6.393628e+00
4.000000e-04,1.089518e-01,3.300000e+00,-6.381922e+00
4.100000e-04,6.485883e+00,3.300000e+00,6.383417e+00
4.200000e-04,1.140493e-01,3.300000e+00,-6.371719e+00
